product_title,product_url,product_image,product_brand_type,product_brand_name,product_offers_type,product_offers_price,product_offers_priceCurrency,product_rating_value,product_reviewCount,sale_price,sale_price_currency
"Etsy Best Sellers, Best Selling Etsy Jewelry, Best Jewelry Sellers, Best Selling Jewelry, Bohemian Jewelry, Handmade Jewelry,",https://www.etsy.com/listing/1397519769/etsy-best-sellers-best-selling-etsy,https://i.etsystatic.com/28170748/r/il/c1d6ee/3938342391/il_fullxfull.3938342391_pdak.jpg,Brand,PrimitivaWorld,Offer,41.23,USD,4.8023,192,2.99,USD
"How to Sell Digital Products and Templates on Etsy,  Step by step Guide to selling Digital Products and Templates, Planner, Journal, How To",https://www.etsy.com/listing/1297863928/how-to-sell-digital-products-and,https://i.etsystatic.com/31886090/r/il/795d9b/4391396963/il_fullxfull.4391396963_bvhz.jpg,Brand,Quirkystuffandco,Offer,7.99,USD,4.6176,109,2.99,USD
"Best Selling Jewelry, Best Etsy Jewelry, Etsy&#39;s Best Selling Jewelry, Compass Necklace, Best Seller Necklaces, Silver Necklace Best Sellers",https://www.etsy.com/listing/281498686/best-selling-jewelry-best-etsy-jewelry,https://i.etsystatic.com/5288022/r/il/2bc077/1026939501/il_fullxfull.1026939501_corr.jpg,Brand,HappyGoLicky,Offer,49.00,USD,4.914,8139,2.99,USD
Direct Sales Business Building Bundle | All My Best-Selling Products to Grow Your Direct Sales Business,https://www.etsy.com/listing/1405382313/direct-sales-business-building-bundle,https://i.etsystatic.com/25284851/r/il/7e0882/4572014360/il_fullxfull.4572014360_st8z.jpg,Brand,AmyJoLoveDesigns,Offer,59.99,USD,4.5889,181,2.99,USD
Original Signed Acrylic Painting on Canvas; AMBEDO: An Embrace of Nothingness,https://www.etsy.com/listing/1189033211/original-signed-acrylic-painting-on,https://i.etsystatic.com/5575882/r/il/f2f5b3/3755063357/il_fullxfull.3755063357_9ti2.jpg,Brand,mellonfineart,Offer,2149.00,USD,4.9667,413,2.99,USD
"925-Sterling Silver Ring,Antique Silver Ring, Thumb Ring ,Band Ring,Amazing Beautiful Ring Girls Ring Gift For Her Cyber Week Sale",https://www.etsy.com/listing/733389656/925-sterling-silver-ringantique-silver,https://i.etsystatic.com/11130209/r/il/32503d/4511284300/il_fullxfull.4511284300_2rre.jpg,Brand,ShreeJaipurSilver925,Offer,62.89,USD,4.7375,13789,2.99,USD
"Kids art COMMERCIAL LICENSE for SMALL shops, Set of 6 learning prints, Commercial use kids decor, print and sell, set of posters, school",https://www.etsy.com/listing/1368986049/kids-art-commercial-license-for-small,https://i.etsystatic.com/13006140/r/il/af3897/4477039491/il_fullxfull.4477039491_h8qf.jpg,Brand,ArtPrintsFactory,Offer,120.00,USD,4.9349,15207,48.00,USD
Designer Butterfly Charm Bracelet - Adjustable Openable Bracelet - Rose Gold Plated Cubic Zircon Minimalist Bracelet -Best Selling Gift Idea,https://www.etsy.com/listing/1510603193/designer-butterfly-charm-bracelet,https://i.etsystatic.com/20673377/r/il/1d947f/5114103305/il_fullxfull.5114103305_1hcd.jpg,Brand,luckyjewelsart,Offer,24.90,USD,4.7505,3323,48.00,USD
"Garnet necklace with crystal pendant best selling items. Trending now gemstone choker. Everyday necklace, beaded choker aesthetic necklace",https://www.etsy.com/listing/1340864991/garnet-necklace-with-crystal-pendant,https://i.etsystatic.com/34532934/r/il/9b03a5/5262408847/il_fullxfull.5262408847_n3w5.jpg,Brand,BijouArtStudioDesign,Offer,45.00,USD,4.9167,42,48.00,USD
Digital Product Kit Etsy Bestsellers List Start a Business Passive Income Course PLR Canva Templates Done For You Products Ideas SideHustles,https://www.etsy.com/listing/1501622708/digital-product-kit-etsy-bestsellers,https://i.etsystatic.com/37419054/r/il/137876/5052837942/il_fullxfull.5052837942_sysj.jpg,Brand,Soulemyshop,Offer,9.99,USD,4.8514,175,48.00,USD
