product_url,product_name,product_sku,product_images,product_category,product_brand,product_rating,product_review_count,product_price,product_price_currency,product_reviews
https://www.etsy.com/listing/1506745367/circuit-board-coasters-set-personalized,"Circuit Board Coasters Set - Personalized PCB Gift for Geeky Home Decor, Unique for Gamers and Tech Enthusiasts",1506745367,"['https://i.etsystatic.com/41495379/r/il/8d7f6b/5014031754/il_fullxfull.5014031754_qthy.jpg', 'https://i.etsystatic.com/41495379/r/il/276283/5014031742/il_fullxfull.5014031742_f5cz.jpg', 'https://i.etsystatic.com/41495379/r/il/6d8b3b/5014031746/il_fullxfull.5014031746_kefu.jpg', 'https://i.etsystatic.com/41495379/r/il/08cb18/5014031750/il_fullxfull.5014031750_pc4i.jpg', 'https://i.etsystatic.com/41495379/r/il/9aee5e/5014031782/il_fullxfull.5014031782_3ycd.jpg']",Home & Living < Kitchen & Dining < Drink & Barware < Drinkware < Coasters,SharingGardenofGrace,4.9,19,,USD,[]
https://www.etsy.com/listing/1501622708/digital-product-kit-etsy-bestsellers,Digital Product Kit Etsy Bestsellers List Start a Business Passive Income Course PLR Canva Templates Done For You Products Ideas SideHustles,1501622708,"['https://i.etsystatic.com/37419054/r/il/137876/5052837942/il_fullxfull.5052837942_sysj.jpg', 'https://i.etsystatic.com/37419054/r/il/05ee65/5104393201/il_fullxfull.5104393201_kst4.jpg', 'https://i.etsystatic.com/37419054/r/il/7fea68/5056161128/il_fullxfull.5056161128_6z3i.jpg', 'https://i.etsystatic.com/37419054/r/il/fb4e6f/5104393155/il_fullxfull.5104393155_q83j.jpg', 'https://i.etsystatic.com/37419054/r/il/4572e7/5056161124/il_fullxfull.5056161124_1fqt.jpg', 'https://i.etsystatic.com/37419054/r/il/093c95/5056161162/il_fullxfull.5056161162_sf45.jpg', 'https://i.etsystatic.com/37419054/r/il/d06cec/5104393209/il_fullxfull.5104393209_2086.jpg', 'https://i.etsystatic.com/37419054/r/il/902183/5056161238/il_fullxfull.5056161238_3pmr.jpg', 'https://i.etsystatic.com/37419054/r/il/56bb2a/5056161218/il_fullxfull.5056161218_rcke.jpg', 'https://i.etsystatic.com/37419054/r/il/e2a238/5104393253/il_fullxfull.5104393253_80iy.jpg']",Paper & Party Supplies < Paper < Stationery < Design & Templates < Templates,Soulemyshop,4.9,175,9.99,USD,"[{'review_rating': 5, 'review_date_published': '2023-08-14', 'review_body': '', 'review_author': 'Maria Ksenia Witte'}]"
https://www.etsy.com/listing/926712241/the-best-sellers-collection-set-of-three,"The Best Sellers Collection: Set Of Three Prints, Top Selling Prints, Most Popular Prints, Black And White Photography, London Street Photo",926712241,"['https://i.etsystatic.com/11702343/r/il/ead163/2788210307/il_fullxfull.2788210307_5obc.jpg', 'https://i.etsystatic.com/11702343/r/il/9d5236/2788210573/il_fullxfull.2788210573_mwr7.jpg', 'https://i.etsystatic.com/11702343/r/il/348cd9/2740517026/il_fullxfull.2740517026_r6oc.jpg', 'https://i.etsystatic.com/11702343/r/il/c5ffcb/2740516792/il_fullxfull.2740516792_ogjm.jpg', 'https://i.etsystatic.com/11702343/r/il/174b63/2732130714/il_fullxfull.2732130714_czgt.jpg', 'https://i.etsystatic.com/11702343/r/il/3b27a8/1426318612/il_fullxfull.1426318612_hj4z.jpg', 'https://i.etsystatic.com/11702343/r/il/0b4fa0/1426318610/il_fullxfull.1426318610_s6ok.jpg', 'https://i.etsystatic.com/11702343/r/il/31da1e/1473577611/il_fullxfull.1473577611_rp5a.jpg', 'https://i.etsystatic.com/11702343/r/il/743d9e/1426318596/il_fullxfull.1426318596_hei1.jpg', 'https://i.etsystatic.com/11702343/r/il/7285b2/2517691630/il_fullxfull.2517691630_8s21.jpg']",Home & Living < Home Decor < Wall Decor < Wall Hangings,AmadeusLong,4.8,99,,USD,[]
https://www.etsy.com/listing/1535017878/flower-necklace-with-rose-birth-month,"Flower necklace with rose birth month flower best selling items. Trending now birth flower jewelry, gold plated necklace, aesthetic necklace",1535017878,"['https://i.etsystatic.com/34532934/r/il/522697/4838176266/il_fullxfull.4838176266_9urs.jpg', 'https://i.etsystatic.com/34532934/r/il/dec32c/4886435631/il_fullxfull.4886435631_aupd.jpg', 'https://i.etsystatic.com/34532934/r/il/d4d4f1/4838176552/il_fullxfull.4838176552_p57f.jpg', 'https://i.etsystatic.com/34532934/r/il/f38038/4886436439/il_fullxfull.4886436439_nury.jpg', 'https://i.etsystatic.com/34532934/r/il/459205/4886436841/il_fullxfull.4886436841_r7vj.jpg']",Jewelry < Necklaces < Chains,BijouArtStudioDesign,4.9,42,26.00,USD,[]
https://www.etsy.com/listing/1540844639/spooky-vibes-ghost-tshirt-cute-free,Spooky vibes ghost tshirt / Cute free spirit pastel Halloween tee shirt / Best selling shirts for women / Whimsigoth aesthetic clothing,1540844639,"['https://i.etsystatic.com/24944523/r/il/a3c444/5204001662/il_fullxfull.5204001662_orgg.jpg', 'https://i.etsystatic.com/24944523/r/il/e21722/5203983868/il_fullxfull.5203983868_nuhy.jpg', 'https://i.etsystatic.com/24944523/r/il/821266/5252201945/il_fullxfull.5252201945_sakq.jpg', 'https://i.etsystatic.com/24944523/r/il/a811a8/5203983884/il_fullxfull.5203983884_e6c9.jpg', 'https://i.etsystatic.com/24944523/r/il/2f1cfb/5203983906/il_fullxfull.5203983906_qbzg.jpg', 'https://i.etsystatic.com/24944523/r/il/171c4b/5218793849/il_fullxfull.5218793849_cmss.jpg', 'https://i.etsystatic.com/24944523/r/il/97c609/5203983958/il_fullxfull.5203983958_at0x.jpg', 'https://i.etsystatic.com/24944523/r/il/e31bc4/5203983960/il_fullxfull.5203983960_598f.jpg', 'https://i.etsystatic.com/24944523/r/il/2e3318/5218815277/il_fullxfull.5218815277_kv5u.jpg', 'https://i.etsystatic.com/24944523/r/il/df7f12/5203999168/il_fullxfull.5203999168_sdzv.jpg']",Clothing < Gender-Neutral Adult Clothing < Tops & Tees < T-shirts,Albrite360,4.8,523,,USD,[]
https://www.etsy.com/listing/1520118856/halloween-etsy-digital-product-ideas-100,Halloween Etsy Digital Product ideas 100 digital product ideas to sell on etsy products list of 100 digital products that sell High demand,1520118856,"['https://i.etsystatic.com/43305966/r/il/19e9f5/5187460755/il_fullxfull.5187460755_eylz.jpg', 'https://i.etsystatic.com/43305966/r/il/9ea299/5139200556/il_fullxfull.5139200556_h5nm.jpg']","Books, Movies & Music < Books < Guides & How Tos",ShansIdeaOutlet,4.8,224,1.93,USD,"[{'review_rating': 5, 'review_date_published': '2023-08-24', 'review_body': 'Muy util, da muchas ideas', 'review_author': 'Susana Arteche'}, {'review_rating': 5, 'review_date_published': '2023-08-28', 'review_body': 'Sehr gerne auf ein neues, vielen dank', 'review_author': 'K. Reeh'}, {'review_rating': 5, 'review_date_published': '2023-09-09', 'review_body': 'Very good, easy to use', 'review_author': 'Kayleigh'}, {'review_rating': 5, 'review_date_published': '2023-09-08', 'review_body': 'good help to find ideas', 'review_author': 'Saskia'}]"
https://www.etsy.com/listing/1558467115/50-premium-digital-product-ideas-to-sell,"50 Premium Digital Product Ideas To Sell On Etsy In Fall And Winter 2023, Best Selling Digital Items Of 2023 And 2024, 50 Digital Etsy Ideas",1558467115,"['https://i.etsystatic.com/46345841/r/il/01d94c/5300319987/il_fullxfull.5300319987_2w8v.jpg', 'https://i.etsystatic.com/46345841/r/il/d5d6dc/5253425402/il_fullxfull.5253425402_clv4.jpg', 'https://i.etsystatic.com/46345841/r/il/70a791/5300319981/il_fullxfull.5300319981_ie31.jpg', 'https://i.etsystatic.com/46345841/r/il/34be37/5300319979/il_fullxfull.5300319979_b8f4.jpg']","Books, Movies & Music < Books < Guides & How Tos",RefinedForYou,5.0,1,4.59,USD,[]
https://www.etsy.com/listing/1518525893/ghost-boo-svg-file-best-selling-product,"Ghost BOO! Svg File, Best Selling Product for Cricut",1518525893,['https://i.etsystatic.com/13419319/r/il/acec31/5068048148/il_fullxfull.5068048148_eysh.jpg'],"Craft Supplies & Tools < Canvas & Surfaces < Stencils, Templates & Transfers < Clip Art & Image Files",Kukaiart1,5.0,8,2.00,USD,[]
https://www.etsy.com/listing/600353119/mint-natural-lip-balm-chapstick,Mint Natural Lip Balm Chapstick | Peppermint lip balm | Charlotte&#39;s Lab | top selling items | natural skincare,600353119,['https://i.etsystatic.com/11558881/r/il/c132cf/1495068044/il_fullxfull.1495068044_rsyw.jpg'],Bath & Beauty < Makeup & Cosmetics < Lips < Lip Balms & Glosses < Lip Balms,CharlottesLab,4.9,679,6.01,USD,"[{'review_rating': 5, 'review_date_published': '2018-07-21', 'review_body': 'Absolutely amazing. The smell/flavour is wonderful! The lip balms from here are fast becoming a need for everywhere (bathroom, bedroom, office, car etc)', 'review_author': 'Cait Pascoe'}, {'review_rating': 5, 'review_date_published': '2019-08-12', 'review_body': 'So nice and minty. Communication with Charlotte is fab. My parcel arrived quickly.', 'review_author': 'Lizzie Wills'}, {'review_rating': 5, 'review_date_published': '2018-07-10', 'review_body': 'I&#39;m so in love with this lip balm.  It&#39;s a perfect addition to my daily routine.  I like that its not waxy like normal Chapsticks and it has a strong peppermint flavor.  ', 'review_author': 'Pumpkin Parcel'}, {'review_rating': 5, 'review_date_published': '2020-07-21', 'review_body': '', 'review_author': 'Andrea'}]"
https://www.etsy.com/listing/118375301/best-seller-pheromones-formula-pumpkin,Best Seller! Pheromones Formula- Pumpkin & Lavender Perfume Oil with Pheromones- Roll On Perfume- Gift for Friend- Handmade,118375301,"['https://i.etsystatic.com/6643836/r/il/ab0ff6/3309615311/il_fullxfull.3309615311_py5b.jpg', 'https://i.etsystatic.com/6643836/r/il/f13a03/2848495374/il_fullxfull.2848495374_r2fb.jpg', 'https://i.etsystatic.com/6643836/r/il/2c9afd/644091218/il_fullxfull.644091218_smby.jpg', 'https://i.etsystatic.com/6643836/r/il/cf01db/453494640/il_fullxfull.453494640_jsxr.jpg', 'https://i.etsystatic.com/6643836/r/il/24293a/408160331/il_fullxfull.408160331_f542.jpg']",Bath & Beauty < Fragrances,shopbelleandblaire,4.9,3812,,USD,"[{'review_rating': 5, 'review_date_published': '2015-07-06', 'review_body': 'This fragrance is very addicting!! Sweet but not too much and it stays nice even after hours later!! Love it and how easy it is to apply with the roller ball bottle! Thank you for a lovely fragrance and the extra free fragrance was such a surprise!! I love it too!! It has a sweet/spicy kick to it! Thank you Tyra!:))', 'review_author': 'Cristal Bivainis'}, {'review_rating': 5, 'review_date_published': '2017-03-11', 'review_body': 'I am a little reluctant to leave feedback as I want to keep this AMAZING perfume all to myself :) It is that good. \nAs a professional model,  I am fortunate to be able to have access to the best, top of the line products and this is definitely up there with a worthy place among the best.\nThe smell is delicious and the pumpkin aroma is addicting. So addicting, I asked Tyra to make me a larger bottle of it in a spray version. The comments I received today were &quot;OMG!! You smell so good&quot;! along with, &quot;You look amazing.What did you do different&quot;? I had done nothing different today except wear the pumpkin pheromone perfume. So does it work in attracting people? I was skeptical but no one could stay away from me today so I would say &quot;Yes&quot;, it works. Treat yourself, you won&#39;t regret it.', 'review_author': 'ukgirlinusa'}, {'review_rating': 5, 'review_date_published': '2021-11-12', 'review_body': 'Ok wow. This is the real deal. It is so warm, creamy, like cashmere and the hints of pumpkin are incredible. The lavender is very faint. I wonder if adding something like ylang ylang would be the cherry on top. I ordered the Pumpkin + Lavender with pheromones. I am very happy with this purchase.', 'review_author': 'Sabrina'}, {'review_rating': 5, 'review_date_published': '2019-08-25', 'review_body': 'Autumn in a bottle. Love it. Was also sent a tester for “coat of pink cashmere” ... that smelled so good I just ordered the bigger bottle of that one ❤️', 'review_author': 'Robin D'}]"
https://www.etsy.com/listing/1373679304/how-to-sell-on-etsy-etsy-seller-account,How To Sell On Etsy | Etsy Seller Account | Etsy Sellers Guide | 40 Free Etsy Listings | How To Sell Digital Products On Etsy.,1373679304,"['https://i.etsystatic.com/37592348/r/il/4752f2/4543793159/il_fullxfull.4543793159_b78d.jpg', 'https://i.etsystatic.com/37592348/r/il/de659a/4543694815/il_fullxfull.4543694815_rgs3.jpg', 'https://i.etsystatic.com/37592348/r/il/7f9e6a/4496326772/il_fullxfull.4496326772_h3wr.jpg', 'https://i.etsystatic.com/37592348/r/il/d93bca/4543694879/il_fullxfull.4543694879_1ugg.jpg', 'https://i.etsystatic.com/37592348/r/il/e899e0/4496326874/il_fullxfull.4496326874_ghs6.jpg', 'https://i.etsystatic.com/37592348/r/il/7b0580/4496326848/il_fullxfull.4496326848_mnfv.jpg', 'https://i.etsystatic.com/37592348/r/il/947f00/4496326828/il_fullxfull.4496326828_3v0n.jpg', 'https://i.etsystatic.com/37592348/r/il/419a2d/4496326604/il_fullxfull.4496326604_42im.jpg', 'https://i.etsystatic.com/37592348/r/il/eea6c1/4496326782/il_fullxfull.4496326782_tg93.jpg', 'https://i.etsystatic.com/37592348/r/il/eaee34/4543694705/il_fullxfull.4543694705_cvsm.jpg']","Books, Movies & Music < Books < Guides & How Tos",SparklingSouth,4.7,320,4.00,USD,"[{'review_rating': 5, 'review_date_published': '2023-02-25', 'review_body': 'Ottimo articolo, proprio quello che cercavo per le mie ricerche', 'review_author': 'Rossella'}, {'review_rating': 5, 'review_date_published': '2023-01-17', 'review_body': 'I&#39;m very happy with the quality of the material and very impressed of how comprehensive it is. I can&#39;t wait to get started with my own Etsy shop and using this material as a guide.\nThanks!', 'review_author': 'Linda'}, {'review_rating': 5, 'review_date_published': '2023-03-14', 'review_body': 'It&#39;s very useful!  Well done.', 'review_author': 'susan'}, {'review_rating': 5, 'review_date_published': '2023-06-23', 'review_body': 'This definitely helped me! I would definitely recommend!', 'review_author': 'Gaebriel'}]"
